name,price,status,shipping,free_returns,items_sold
"Nike Reax 8 TR Men's Athletic Shoes Size 12.5, GRAY/RED/BLACK ",500,Pre-Owned,350,False,
Nike Air Max Zero Essential Triple White Men's Shoe (876070 100) Size 11,495,Pre-Owned,495,False,
Nike AIR VAPORMAX 2020 FK Flyknit Black Dark Grey Men’s Size 10  (CJ6740-002),5495,New (Other),0,False,0
Nike Mens Court Vision Low CD5463-002 Black Leather Running Shoes Lace Up Sz 11,677,New (Other),,True,
2021 Nike Air Jordan 3 Retro Pine Green CT8532-030,9999,Brand New,0,False,0
Men's Nike Air Zoom Pegasus 37 size 12,999,Brand New,30,False,
Men's Nike Air Zoom Pegasus 37 size 13,999,Brand New,30,False,
Nike Air Force 1 '07 Craft Mens Shoes Size 9 Summit White CN2873 101 ,999,Brand New,0,False,0
nike air max 1 size 12 Dark Grey Purple,500,Pre-Owned,595,False,
Nike Mens Tanjun Athletic Running Sneaker Shoes Size 11 Gray,999,Pre-Owned,99,False,
Nike Air Safari 87 size 12 306324-281,0,Pre-Owned,194,False,
Nike Mens Kyrie 5 T Red Basketball Shoes Lace Up Mid Top Size 8.5,0,Pre-Owned,795,False,
NIKE REACT PHANTOM RUN FLYKNIT 2 Men's Shoes Wht/Blk/Flash Crimson Pick Size NIB,1699,Brand New,0,True,0
Nike Air Jordan 1 Mid Gym Red Size 11 554724-122 Black Toe High OG Low,4000,Pre-Owned,0,False,
NIKE SB STEFAN JANOSKI MID RM BLACK/WHITE AT7324-001 MEN'S SZ 9.5,999,Brand New,500,False,
Nike Air Jordan 1 Mid SE Utility Shoes Black White Red DD9338-016 Multi Size NEW,7990,Brand New,0,False,0
New NIKE Manoa Mens Leather winter work hiking sneaker boots wheat 8-13,1995,Brand New,99,False,0
Nike Revolution 5 Running Shoes - Blue - Size 7Y ,899,Pre-Owned,0,False,
Nike Air Force 1 '07 LV8 Shoes Black Gold White DA8481-001 Men's Multi Size NEW,4490,Brand New,0,False,0
Nike Air Jordan Spizike Black Cement Sneakers Basketball Shoes Men's 7Y,500,Pre-Owned,115,False,
Men Nike Speedrep Training Running shoes sneakers Black & White CU3579-002,500,Brand New,0,False,
